"Male","RaceWhite","Age","State","TimeServed","MaxSentence","MultipleOffenses","Crime","Violator"
1,1,36.1,"Virginia",4.9,14,1,"Other",0
1,1,44.9,"Virginia",5.3,12,1,"Other",0
0,0,31.2,"Virginia",2.9,12,0,"Drugs",0
0,1,30.3,"Virginia",4.4,15,1,"Other",0
1,1,43,"Virginia",3,12,0,"Other",0
1,1,44,"Virginia",3.7,14,1,"Other",0
0,0,36.2,"Virginia",3.1,13,1,"Other",0
1,1,25.6,"Virginia",3.5,12,0,"Other",0
1,1,33.2,"Virginia",3.8,15,1,"Other",0
1,0,34.9,"Virginia",4.5,15,0,"Larceny",0
1,0,43.8,"Virginia",5.5,18,0,"Larceny",0
1,1,36.1,"Virginia",4.4,15,1,"Other",0
1,1,55.7,"Virginia",4.6,15,1,"Other",0
0,0,22,"Virginia",5.9,18,1,"Larceny",0
1,0,20.2,"Virginia",3.2,14,1,"Other",0
1,1,24.2,"Virginia",5.2,17,1,"Other",0
1,0,19.7,"Virginia",2.2,13,1,"Other",0
1,1,46.3,"Virginia",5.9,17,0,"Drugs",0
1,0,29.6,"Virginia",5.2,17,1,"Drugs",0
0,0,30,"Virginia",5.5,16,1,"Larceny",0
1,0,34.6,"Virginia",5.1,15,1,"Larceny",0
1,1,45.5,"Virginia",3.8,16,1,"Driving",0
1,0,27.5,"Virginia",4.8,16,0,"Driving",0
1,1,41.2,"Virginia",3,13,1,"Other",0
1,0,23.2,"Virginia",5.3,13,1,"Other",0
1,1,36.3,"Virginia",5.5,18,0,"Drugs",0
1,0,44.3,"Virginia",4.4,12,1,"Larceny",0
1,1,53.8,"Virginia",3.6,14,1,"Other",0
0,0,42.3,"Virginia",3.3,12,1,"Larceny",0
1,0,47.8,"Virginia",3.3,13,1,"Larceny",0
1,1,23.1,"Virginia",4.4,16,1,"Driving",0
1,0,42.5,"Virginia",5.7,18,1,"Driving",0
1,1,19.6,"Virginia",4.4,13,1,"Other",0
1,1,20.8,"Virginia",3.4,13,1,"Larceny",0
1,0,32.2,"Virginia",3.1,13,1,"Larceny",0
1,0,25.7,"Virginia",3.1,13,1,"Drugs",0
1,0,31.7,"Virginia",3,13,1,"Driving",0
0,0,39.7,"Virginia",5.5,13,1,"Other",0
1,0,34.4,"Virginia",5.4,17,1,"Larceny",0
0,1,31.8,"Virginia",4,13,1,"Other",0
1,0,36.7,"Virginia",3.4,14,1,"Drugs",0
0,0,39.5,"Virginia",5.6,15,0,"Other",0
1,1,20.7,"Virginia",3.9,15,1,"Other",0
1,0,29.2,"Virginia",3,13,1,"Driving",0
1,1,46,"Virginia",3.2,12,1,"Driving",0
1,0,38,"Virginia",3.7,15,0,"Larceny",0
1,0,38.1,"Virginia",3,12,1,"Drugs",0
1,0,40.8,"Virginia",3,12,0,"Driving",0
1,1,33.8,"Virginia",4.1,15,1,"Larceny",0
1,0,52.6,"Virginia",3.2,12,1,"Larceny",0
0,1,38.6,"Virginia",5.3,14,1,"Driving",0
1,0,22.1,"Virginia",3.8,15,0,"Other",0
0,0,46,"Virginia",4.5,15,1,"Other",0
1,0,36.5,"Virginia",4.7,13,0,"Other",0
0,0,46.9,"Virginia",4.1,16,0,"Larceny",0
0,1,25.3,"Virginia",3.2,12,1,"Other",0
1,1,28.7,"Virginia",2.9,12,0,"Driving",0
1,0,24.5,"Virginia",4.3,16,0,"Other",0
0,0,40.9,"Virginia",3.2,12,1,"Larceny",0
1,0,27.1,"Virginia",5.2,13,1,"Other",0
0,0,36.6,"Virginia",3.7,15,1,"Other",0
1,0,28.5,"Virginia",4.5,18,1,"Driving",1
1,0,43.5,"Virginia",3.7,15,1,"Other",0
0,0,24.7,"Virginia",4.8,15,0,"Other",0
1,1,18.5,"Virginia",3,13,1,"Other",0
1,0,32.9,"Virginia",3,12,1,"Other",0
1,0,36.5,"Virginia",3,12,1,"Larceny",0
1,0,45.6,"Virginia",4.5,16,1,"Other",0
1,0,41.9,"Virginia",4.4,15,0,"Other",0
0,0,35,"Virginia",4.6,14,1,"Other",0
1,0,19.6,"Virginia",4.1,13,1,"Driving",0
0,0,28.7,"Virginia",5.4,18,0,"Larceny",0
1,0,33.4,"Virginia",3,12,1,"Drugs",0
1,0,38.4,"Virginia",6,14,1,"Larceny",0
1,1,20.4,"Virginia",2,12,1,"Drugs",0
0,1,43.4,"Virginia",4.1,12,1,"Larceny",0
1,0,34.5,"Virginia",4.2,12,1,"Other",0
1,0,51.7,"Virginia",4.2,12,1,"Other",0
1,1,23.7,"Virginia",3.1,14,1,"Driving",0
0,1,51.1,"Virginia",3.1,13,1,"Driving",0
1,1,26.5,"Virginia",5.9,18,0,"Other",0
1,0,46.4,"Virginia",4,13,1,"Driving",0
1,0,47.5,"Virginia",5.4,18,0,"Other",0
1,1,27.9,"Virginia",4.3,14,1,"Other",0
1,0,23.8,"Virginia",3.7,15,1,"Other",0
0,0,50.2,"Virginia",6,18,0,"Drugs",0
1,0,34.3,"Virginia",3,13,1,"Larceny",0
1,1,40.1,"Virginia",3.7,14,1,"Other",0
1,1,44.9,"Virginia",3,12,1,"Larceny",0
1,0,32.9,"Virginia",5,16,1,"Driving",0
1,1,21.4,"Virginia",3.1,14,1,"Other",0
1,1,45.4,"Virginia",3.6,15,1,"Driving",0
0,1,21.7,"Virginia",4.1,12,0,"Larceny",0
1,1,48.8,"Virginia",4.6,16,1,"Larceny",0
1,0,35.4,"Virginia",3,13,1,"Larceny",0
1,0,65.1,"Virginia",5.2,18,0,"Other",0
0,0,37.5,"Virginia",3.3,12,0,"Drugs",0
1,1,59.4,"Virginia",3.6,14,1,"Driving",0
1,0,33.5,"Virginia",3.9,14,0,"Larceny",0
0,1,39.8,"Virginia",3,13,1,"Other",0
1,0,23.6,"Virginia",4.9,16,0,"Other",0
1,0,26.8,"Virginia",3.8,15,1,"Other",0
1,1,46.2,"Virginia",5.6,18,1,"Other",0
1,0,19.7,"Virginia",3,14,1,"Other",0
1,0,19.6,"Virginia",3,13,1,"Other",0
0,0,39.2,"Virginia",3,13,1,"Larceny",0
1,0,20.6,"Virginia",4.8,15,1,"Drugs",0
1,0,32.1,"Virginia",3.8,14,0,"Drugs",0
1,0,67,"Virginia",4.6,14,1,"Other",0
1,0,22,"Virginia",3.8,14,1,"Driving",0
1,1,41.6,"Virginia",5.1,17,1,"Larceny",0
1,0,47,"Virginia",5.6,18,0,"Other",0
0,1,49,"Virginia",4.9,15,1,"Larceny",0
0,1,35.3,"Virginia",3,13,1,"Driving",0
1,1,50.1,"Virginia",3.1,12,1,"Driving",0
1,0,32.1,"Virginia",3,12,1,"Other",0
1,1,42.5,"Virginia",3,12,1,"Other",0
1,0,25,"Virginia",3.6,15,1,"Other",0
0,1,42.8,"Virginia",5.9,17,1,"Larceny",0
1,1,21.1,"Virginia",4.1,13,1,"Other",0
1,1,44.3,"Virginia",5.9,18,0,"Drugs",0
1,1,30.8,"Virginia",4.3,13,1,"Other",0
1,1,21.9,"Virginia",3.9,14,1,"Larceny",0
1,0,29.5,"Virginia",4.4,15,1,"Other",0
1,1,24.5,"Virginia",4,14,1,"Driving",0
1,0,24.9,"Virginia",3,12,1,"Larceny",0
1,1,27,"Virginia",5.1,17,1,"Other",0
1,1,19.4,"Virginia",3.7,13,1,"Other",0
0,1,37.5,"Virginia",3.2,14,1,"Driving",0
1,1,25.2,"Virginia",4.7,13,1,"Driving",0
1,1,51.3,"Virginia",4,15,1,"Larceny",0
1,1,54.4,"Virginia",5.1,18,0,"Driving",0
0,1,44.1,"Virginia",5.5,15,1,"Drugs",0
1,1,31,"Virginia",3,12,0,"Other",0
1,0,29.2,"Virginia",3.2,14,1,"Other",0
1,0,43.4,"Virginia",2,12,0,"Other",0
1,0,42.5,"Virginia",4.2,15,0,"Other",0
0,0,32.8,"Virginia",4.6,15,0,"Other",0
1,1,22.9,"Virginia",5.1,16,1,"Driving",0
1,0,31.8,"Virginia",4.2,15,1,"Other",0
1,1,29.7,"Virginia",5.3,13,1,"Other",0
1,1,18.7,"Virginia",5.5,17,1,"Drugs",0
1,1,18.8,"Virginia",4.7,13,1,"Larceny",0
1,0,27.8,"Virginia",4.1,13,1,"Driving",0
1,0,32.9,"Virginia",4.1,15,1,"Other",0
1,0,23.4,"Virginia",4.4,14,1,"Other",0
0,1,35.8,"Virginia",3.9,12,0,"Drugs",0
1,1,19.1,"Virginia",5.1,18,1,"Larceny",0
1,1,20.6,"Virginia",4.3,13,1,"Larceny",0
1,0,51,"Virginia",3,13,0,"Other",0
1,0,34.9,"Virginia",5.1,13,1,"Larceny",0
0,0,48.7,"Virginia",4,15,0,"Other",0
1,0,24.4,"Virginia",4.3,15,1,"Other",0
1,0,41.4,"Virginia",3.1,13,0,"Larceny",0
1,0,36.8,"Virginia",3.3,13,0,"Larceny",0
1,0,27.8,"Virginia",3.3,12,0,"Drugs",0
1,0,28.1,"Virginia",3,12,1,"Driving",0
1,1,23,"Virginia",5.1,18,1,"Other",0
1,1,27.2,"Virginia",4.7,14,1,"Driving",0
1,1,47.8,"Virginia",5.3,18,1,"Larceny",0
1,0,49,"Virginia",4.9,16,0,"Other",0
1,1,25.6,"Virginia",3.6,15,1,"Other",0
1,0,29.9,"Virginia",5.8,18,1,"Larceny",0
1,0,20,"Virginia",4.1,13,1,"Other",0
1,1,25.6,"Virginia",3,13,1,"Driving",0
1,0,34.3,"Virginia",4.6,13,1,"Driving",0
1,0,25,"Virginia",4.3,15,1,"Larceny",0
1,0,32.9,"Virginia",3,12,0,"Drugs",0
1,0,23.7,"Virginia",4.5,14,1,"Other",0
1,0,28.5,"Virginia",4.2,13,1,"Other",0
0,0,40.1,"Virginia",4.8,14,1,"Other",0
1,1,40.4,"Virginia",2.9,12,0,"Other",0
0,0,38.5,"Virginia",3,12,1,"Other",0
1,1,22.6,"Virginia",3.3,12,1,"Larceny",0
1,1,32.4,"Virginia",3,12,1,"Other",0
1,1,24.8,"Virginia",4.9,15,1,"Other",0
1,0,38.2,"Virginia",4.7,15,1,"Drugs",0
1,0,29.7,"Virginia",4.1,14,1,"Other",0
0,0,44.7,"Virginia",3,13,1,"Other",0
1,0,28.9,"Virginia",3.2,13,1,"Drugs",0
0,0,28.2,"Virginia",3.4,14,1,"Larceny",0
1,0,44.1,"Virginia",4.6,13,1,"Other",0
1,1,23.2,"Virginia",4.4,15,1,"Other",0
1,0,29.6,"Virginia",3,12,0,"Other",0
1,0,23.4,"Virginia",4.7,17,1,"Driving",0
1,1,28.8,"Virginia",3.6,13,1,"Driving",0
1,1,43.8,"Virginia",4.2,12,1,"Drugs",0
1,1,26.8,"Virginia",3.7,15,0,"Driving",0
1,1,23.3,"Virginia",5.6,18,1,"Other",0
1,1,19.2,"Virginia",5.5,18,1,"Larceny",0
1,0,19.9,"Virginia",5.6,18,1,"Other",0
1,0,36,"Virginia",3,13,0,"Driving",0
1,0,21.4,"Virginia",3.7,15,1,"Other",0
1,0,40.3,"Virginia",4.4,15,0,"Other",0
1,0,45.1,"Virginia",5.3,12,1,"Other",0
1,1,38.6,"Virginia",2.2,14,1,"Drugs",0
1,0,50.1,"Virginia",3.9,15,1,"Driving",0
1,0,20.2,"Virginia",5.5,13,1,"Drugs",0
1,0,23.1,"Virginia",6,12,1,"Driving",0
1,1,19,"Virginia",3,12,1,"Other",0
1,0,42.4,"Virginia",5.5,17,1,"Driving",0
1,0,43.2,"Virginia",5.4,14,1,"Other",0
1,1,40.3,"Virginia",4.2,13,1,"Drugs",0
1,1,35.9,"Virginia",5.2,13,1,"Other",0
1,0,23.6,"Virginia",4.7,15,1,"Larceny",0
0,0,38,"Virginia",3.6,14,1,"Driving",0
0,0,32.4,"Virginia",3.8,14,1,"Drugs",0
1,0,27.8,"Virginia",3.9,13,1,"Driving",0
1,1,44.8,"Virginia",4.4,14,1,"Driving",0
1,1,37.6,"Virginia",3.3,14,1,"Other",0
1,1,43,"Virginia",4.2,13,1,"Larceny",0
1,1,19.4,"Virginia",3.1,14,1,"Larceny",0
1,0,40.9,"Virginia",3,12,0,"Larceny",0
0,0,46.1,"Virginia",4.5,13,1,"Other",0
1,1,46.6,"Virginia",5.7,12,1,"Driving",0
1,0,30.4,"Virginia",3,12,0,"Drugs",0
1,1,22.8,"Virginia",3.5,13,1,"Other",0
1,1,40,"Virginia",3.2,15,0,"Other",0
1,0,41.3,"Virginia",3,13,1,"Other",0
1,0,25.1,"Virginia",5.5,14,1,"Driving",0
1,1,31.1,"Virginia",3.3,15,1,"Other",0
1,0,31.8,"Virginia",3.9,12,0,"Larceny",0
1,1,39.7,"Virginia",5.6,18,1,"Other",1
1,1,43.1,"Virginia",3,12,1,"Other",0
1,1,38.4,"Virginia",4.3,14,0,"Drugs",0
1,1,23.6,"Virginia",4,13,1,"Driving",0
1,0,40.3,"Virginia",5.7,17,1,"Larceny",0
1,0,42,"Virginia",4.1,14,0,"Larceny",0
1,0,42.4,"Virginia",5.1,18,0,"Larceny",0
1,0,32.1,"Virginia",3.3,12,0,"Drugs",0
1,0,33.9,"Virginia",4.1,12,1,"Other",0
1,1,28,"Virginia",3.4,12,1,"Other",0
1,0,25.6,"Virginia",4.5,14,1,"Other",0
0,0,32,"Virginia",3.7,15,1,"Drugs",0
1,0,20.5,"Virginia",5.5,18,1,"Larceny",0
1,0,33.6,"Virginia",5.2,18,0,"Other",0
1,0,47.1,"Virginia",4.4,14,1,"Other",0
1,0,27.6,"Virginia",3,13,1,"Driving",0
1,1,21.2,"Virginia",3.7,14,1,"Larceny",0
1,1,28.4,"Virginia",4.2,12,1,"Larceny",0
1,1,38.6,"Virginia",3.5,14,1,"Drugs",0
1,0,27.6,"Virginia",3,12,0,"Larceny",0
1,1,19.2,"Virginia",3,12,1,"Other",0
1,1,36.5,"Virginia",5.5,18,0,"Other",0
0,0,35.6,"Virginia",3.6,12,1,"Other",0
1,0,37.4,"Virginia",5.4,17,1,"Other",0
1,0,38.5,"Virginia",4.9,10,1,"Larceny",0
1,0,19.2,"Virginia",4.4,15,1,"Other",0
1,1,36.3,"Virginia",5.6,16,1,"Other",0
1,0,28.7,"Virginia",4.2,14,1,"Driving",0
1,0,28.2,"Virginia",3,12,1,"Other",0
1,1,28.8,"Virginia",3,12,1,"Driving",0
1,1,38,"Virginia",3.6,13,1,"Other",0
1,0,41.1,"Virginia",3,12,1,"Larceny",0
1,0,22.8,"Virginia",3.1,12,1,"Other",0
1,0,29.9,"Virginia",4.2,16,1,"Driving",1
1,0,41.1,"Virginia",3,14,1,"Other",1
1,0,46.4,"Virginia",4.3,12,1,"Other",0
1,1,33.9,"Virginia",5.2,14,1,"Other",0
1,0,33,"Virginia",5.3,12,0,"Drugs",0
1,0,43.8,"Virginia",4.4,14,1,"Other",0
1,1,38.9,"Virginia",5.6,12,1,"Other",0
1,0,44.2,"Virginia",3,12,1,"Other",0
1,0,38.3,"Virginia",5,12,1,"Other",0
1,0,40.6,"Virginia",4.9,16,0,"Drugs",0
1,0,34,"Virginia",3,12,0,"Other",0
1,1,22.2,"Virginia",4.1,15,1,"Other",0
1,1,33,"Virginia",4.5,14,1,"Larceny",0
1,1,19.3,"Virginia",5.2,13,1,"Other",0
0,1,30,"Virginia",4,13,1,"Driving",0
1,0,47,"Virginia",3,15,1,"Larceny",1
0,1,21.9,"Virginia",4.3,14,1,"Other",0
1,1,23,"Virginia",5.1,13,1,"Larceny",0
1,0,43.7,"Virginia",5.6,18,1,"Driving",0
1,0,46.8,"Virginia",3.7,15,0,"Other",0
0,0,28.2,"Virginia",3.8,15,1,"Other",0
1,0,20.7,"Virginia",3.1,12,1,"Other",0
1,0,46.7,"Virginia",4.2,12,1,"Other",0
0,0,32.8,"Virginia",3.2,14,1,"Larceny",0
1,0,23.3,"Virginia",3.3,13,1,"Larceny",0
1,1,27.7,"Virginia",5.2,12,0,"Other",0
1,1,18.4,"Virginia",3,12,1,"Other",0
1,0,48.5,"Virginia",4.7,16,1,"Other",0
1,1,26.9,"Virginia",5.9,17,1,"Other",0
1,1,30.1,"Virginia",3.2,13,1,"Other",0
1,1,26.9,"Virginia",3,13,1,"Driving",0
0,0,47.3,"Virginia",4,15,1,"Other",0
1,0,19.1,"Virginia",5.3,14,1,"Other",0
1,0,24.8,"Virginia",3.3,13,0,"Other",0
1,0,39.6,"Virginia",3,12,0,"Drugs",0
1,1,25.6,"Virginia",2.2,13,1,"Other",0
1,0,25.6,"Virginia",5.4,13,1,"Larceny",0
1,0,33.7,"Virginia",3.2,15,1,"Other",0
0,1,44.1,"Virginia",3.2,15,1,"Other",0
1,1,54.1,"Virginia",4.2,14,1,"Driving",0
1,1,38.7,"Virginia",6,17,1,"Other",0
0,0,25.1,"Virginia",4.2,13,1,"Other",0
1,0,24.4,"Virginia",4.7,15,1,"Other",0
1,0,45.6,"Virginia",3.8,14,0,"Larceny",0
1,1,20.8,"Virginia",3.6,13,1,"Other",0
0,0,34.2,"Virginia",3.2,12,1,"Other",0
1,1,33.6,"Virginia",4.6,15,1,"Driving",0
0,0,46.9,"Virginia",2.3,14,1,"Other",0
1,1,35.4,"Virginia",3.5,15,0,"Larceny",0
1,0,44.1,"Virginia",4,14,1,"Larceny",1
0,0,27.1,"Virginia",3.8,15,1,"Other",0
1,1,34,"Virginia",4.8,12,0,"Other",0
1,1,48.2,"Virginia",3.2,14,1,"Driving",0
1,0,24.9,"Virginia",4.1,14,1,"Other",0
1,0,36.5,"Virginia",2.9,12,0,"Other",0
1,0,23.3,"Virginia",3.1,14,1,"Other",0
1,1,47.2,"Virginia",3,12,0,"Other",0
1,0,44.5,"Virginia",3.1,14,1,"Driving",0
1,0,25.9,"Virginia",3.1,14,0,"Larceny",0
1,1,22.3,"Virginia",3,12,0,"Drugs",0
1,1,19.9,"Virginia",3,13,1,"Other",0
1,1,39.2,"Virginia",4.5,17,1,"Driving",1
1,0,21.5,"Virginia",3.2,14,1,"Other",0
1,1,22.1,"Virginia",3.8,14,1,"Other",0
1,1,48.2,"Virginia",4.6,13,1,"Other",0
1,0,23.8,"Virginia",4.6,14,1,"Driving",0
1,0,36.3,"Virginia",4.1,16,1,"Larceny",0
1,1,56.5,"Virginia",5.8,18,0,"Other",0
1,0,36.4,"Virginia",2.9,12,1,"Larceny",0
1,0,25.4,"Virginia",3.4,14,1,"Other",0
1,0,28.2,"Virginia",6,18,1,"Driving",0
1,1,39,"Virginia",3.9,14,1,"Larceny",0
0,0,42,"Virginia",3.3,13,1,"Other",0
1,1,47.1,"Virginia",4.2,16,1,"Other",0
0,1,47.5,"Other",5.2,16,0,"Drugs",0
1,1,45.4,"Other",5.7,12,0,"Drugs",0
1,1,38.4,"Other",1.8,18,0,"Other",0
1,1,47.8,"Other",6,12,0,"Driving",0
