Name,Sector,Price,EPS
Apple Inc,Information Technology,170.12,9.2
Abbvie Inc,Health Care,93.29,5.31
Abbott Laboratories,Health Care,55.28,2.41
Accenture Plc,Information Technology,145.3,5.91
Allergan Plc,Health Care,171.81,15.42
American International Group,Financials,59.5,2.51
Allstate Corp,Financials,100.5,6.79
Amgen,Health Care,168.93,12.58
Amazon.Com Inc.,Consumer Discretionary,1126.82,3.94
American Express Company,Financials,93.92,5.22
Boeing Company,Industrials,265.04,9.75
Bank of America Corp,Financials,26.7,1.75
Biogen Inc,Health Care,311.92,21.59
Bank of New York Mellon Corp,Financials,52.73,3.47
Blackrock,Financials,474.05,21.55
Bristol-Myers Squibb Company,Health Care,60.48,2.96
Berkshire Hath Hld B,Financials,181.27,6.29
Citigroup Inc,Financials,71.87,5.19
Caterpillar Inc,Industrials,137.37,5.55
Celgene Corp,Health Care,102.88,6.4
Charter Communicatio,Consumer Discretionary,346.2,1.61
Colgate-Palmolive Company,Consumer Staples,72.16,2.87
Comcast Corp A,Consumer Discretionary,36.13,2.02
Capital One Financial Corp,Financials,88.26,7.58
Conocophillips,Energy,49.89,0.02
Costco Wholesale,Consumer Staples,171.22,5.82
Cisco Systems Inc,Information Technology,36.38,2.17
CVS Corp,Consumer Staples,70.18,5.71
Chevron Corp,Energy,114.84,3.57
Danaher Corp,Health Care,93.45,3.89
Walt Disney Company,Consumer Discretionary,103.02,5.7
Duke Energy Corp,Utilities,88.61,4.45
Dowdupont Inc.,Materials,71.12,3.66
Emerson Electric Company,Industrials,60.14,2.58
Exelon Corp,Utilities,41.32,2.48
Ford Motor Company,Consumer Discretionary,12.11,1.68
Facebook Inc,Information Technology,179.14,5.19
Fedex Corp,Industrials,217.75,11.91
21st Centry Fox Class B,Consumer Discretionary,30.42,1.92
21st Centry Fox Class A,Consumer Discretionary,31.14,1.92
General Dynamics Corp,Industrials,198.7,10.07
General Electric Company,Industrials,17.91,1.24
Gilead Sciences Inc,Health Care,71.63,9.58
General Motors Company,Consumer Discretionary,44.74,6.19
Alphabet Class C,Information Technology,1018.48,29.87
Alphabet Class A,Information Technology,1034.09,29.87
Goldman Sachs Group,Financials,238.05,19.2
Halliburton Company,Energy,41.57,0.73
Home Depot,Consumer Discretionary,170.13,6.96
Honeywell International Inc,Industrials,148.04,6.95
International Business Machines,Information Technology,151.4,13.66
Intel Corp,Information Technology,44.88,3.18
Johnson & Johnson,Health Care,138.54,7.14
JP Morgan Chase & Co,Financials,98.58,6.94
Kraft Heinz Co,Consumer Staples,80.59,3.56
Kinder Morgan,Energy,17.04,0.65
Coca-Cola Company,Consumer Staples,45.6,1.89
Eli Lilly and Company,Health Care,82.97,4.09
Lockheed Martin Corp,Industrials,312.93,12.72
Lowe's Companies,Consumer Discretionary,81.43,4.34
Mastercard Inc,Information Technology,149.93,4.31
McDonald's Corp,Consumer Discretionary,167.01,6.4
Mondelez Intl Cmn A,Consumer Staples,42.49,2.05
Medtronic Inc,Health Care,79.52,4.69
Metlife Inc,Financials,51.85,5.2
3M Company,Industrials,232.49,8.95
Altria Group,Consumer Staples,66.51,3.16
Monsanto Company,Materials,118.19,5.53
Merck & Company,Health Care,53.74,3.89
Morgan Stanley,Financials,49.06,3.61
Microsoft Corp,Information Technology,82.49,3.38
Nextera Energy,Utilities,155.7,6.67
Nike Inc,Consumer Discretionary,59.46,2.35
Oracle Corp,Information Technology,48.97,2.55
Occidental Petroleum Corp,Energy,68.17,0.35
Priceline Group,Consumer Discretionary,1762.23,74.45
Pepsico Inc,Consumer Staples,115.5,5.12
Pfizer Inc,Health Care,35.38,2.5
Procter & Gamble Company,Consumer Staples,88.33,3.98
Philip Morris International Inc,Consumer Staples,103.35,4.49
Paypal Holdings,Information Technology,76.55,1.4
Qualcomm Inc,Information Technology,66.83,3.78
Raytheon Company,Industrials,184.22,7.56
Starbucks Corp,Consumer Discretionary,56.83,2.07
Schlumberger N.V.,Energy,61.53,1.29
Southern Company,Utilities,51.12,2.75
Simon Property Group,Real Estate,159.25,6.05
AT&T Inc,Telecommunications,34.59,2.93
Target Corp,Consumer Discretionary,57.77,4.93
Time Warner Inc,Consumer Discretionary,88.62,6.06
Texas Instruments,Information Technology,98.59,4.06
Unitedhealth Group Inc,Health Care,209.75,9.6
Union Pacific Corp,Industrials,115.58,5.66
United Parcel Service,Industrials,113.2,5.98
U.S. Bancorp,Financials,51.88,3.37
United Technologies Corp,Industrials,117.05,6.62
Visa Inc,Information Technology,110.27,3.48
Verizon Communications Inc,Telecommunications,45.85,3.75
Walgreens Boots Alliance,Consumer Staples,70.25,5.1
Wells Fargo & Company,Financials,54.02,4.14
Wal-Mart Stores,Consumer Staples,96.08,4.36
Exxon Mobil Corp,Energy,80.31,3.56